source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,rv_template_fe_h,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3313334073616793216,67.7488290670386,16.994978003192745,,,,,20.74497,2.2930946,0.9334488,1.3596458,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313336341358946432,67.56704383366692,17.012780558369318,,,,,21.036253,1.4464455,0.100868225,1.3455772,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313331389261120128,67.60630992224682,16.895815225804697,0.017338082436280093,7.7459456760912495,-7.355104609959759,0.98632187,19.984749,1.2661724,0.4644966,0.8016758,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317065546213504,67.72167941648112,16.763626255589283,,,,,20.900951,1.0243511,0.12438202,0.8999691,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317095609932544,67.73148207263473,16.772676106651062,0.28054202569762626,0.8349841640747734,-0.28587218503854595,0.96583545,18.164816,1.4098301,0.64515495,0.76467514,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4530.2554,4.9068,-1.6842,959.5094,0.4501,0.3445,0.1862
3313317198689277824,67.75109866207342,16.78579622577237,0.7518218300282423,-12.363572854835951,-20.745391719699416,1.0411769,20.352978,2.149208,0.88850594,1.2607021,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317817164437504,67.71759926003142,16.769316808599584,0.01618923315446389,-0.17634866252708792,-0.8005548213887331,1.0286816,18.72116,1.1656132,0.49812317,0.66749,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4775.837,4.9222,-2.3681,1588.9025,0.0523,0.0411,0.0224
3313317817164516864,67.71941043732336,16.780915938166736,0.6640588718397198,1.2954210309658065,-1.1263980808272416,1.0912521,20.126286,1.2266636,0.5813618,0.6453018,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317821460429696,67.71739573718901,16.76715937908771,0.2812152664114179,0.6852839586602368,-4.640521319961518,1.0397445,20.567015,1.7522545,0.62623405,1.1260204,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317821461577600,67.7142717201276,16.771194865593454,4.12343267675732,-4.152535440108013,-2.0654036037189902,0.993954,17.470379,2.814354,1.59725,1.217104,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3424.9756,4.6062,-0.7,230.5426,1.465,0.944,0.5878
3313317851524177920,67.72879052487355,16.779421469913256,0.39838644091930764,3.393740571261002,-1.2073367420639887,1.0204227,18.187757,1.350832,0.60790634,0.74292564,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4280.855,4.7464,-2.9166,886.9971,0.0049,0.0037,0.002
3313317851524178048,67.73112953156773,16.781408347171286,-0.21897168833590192,1.54228246460903,-0.8873668144100427,1.0175904,19.681704,1.2241459,0.5411091,0.6830368,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317855820338560,67.73117220037174,16.786996278112156,,,,,21.069893,1.0963535,0.03457451,1.061779,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317885883916800,67.70899877311537,16.784320425726257,1.0135405106587214,3.4740155580536,-0.27591628751619257,0.96593654,20.019077,1.1474495,0.46804237,0.6794071,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317924539644928,67.72410147511756,16.79244302331566,,,,,21.014109,0.7279377,-0.06946945,0.79740715,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313317924539645056,67.72456168726934,16.795362082064038,,,,,21.061462,0.911726,0.1822319,0.7294941,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
